Feature,Ridge_L2,Lasso_L1,Elastic_Net,Selected_by_Lasso
StudentID,0.001689309447802743,0.0,0.0,False
Gender,-0.0017335281462897653,-0.0,-0.0,False
City,0.0003498894938429924,0.0,0.0,False
CollegeTier,-0.008502556580524175,-0.0,-0.003140449013359325,False
Stream,-0.002330331081650748,-0.0,-0.0007413122193613335,False
Specialisation,-0.0016544118398954463,-0.0,-0.0,False
Hostel,0.0012624337128341497,0.0,0.0,False
HistoryOfBacklogs,-0.09180071823344307,-0.04397496281621067,-0.06825267603532449,True
SGPA_Sem1,-0.023162870261202017,-0.0,-0.0,False
SGPA_Sem2,-0.025836913383910774,-0.0,-0.0,False
SGPA_Sem3,-0.009557210213594822,-0.0,-0.0,False
SGPA_Sem4,-0.0053864132435947325,-0.0,-0.0,False
SGPA_Sem5,0.007786511887675082,-0.0,-0.0,False
SGPA_Sem6,0.01792019396706283,-0.0,-0.0,False
SGPA_Sem7,0.014007261838509888,-0.0,-0.0,False
SGPA_Sem8,0.028713056031640358,-0.0,-0.0,False
CGPA,-0.11056075376460155,-0.011898082474550481,-0.05041668932323866,True
AttendancePercent,0.00782628645462185,0.0030945429336490748,0.005848292022526615,True
Internships,0.01935129659205424,0.014044082599332324,0.01626524830927246,True
Projects,0.01892052703638551,0.012445538293516382,0.014805955693271837,True
Workshops,-0.005645836113538986,0.0,0.0,False
Certifications,0.0015161426844367716,0.004366500099395419,0.003503494741584704,True
Publications,-0.01860727843927888,-0.0,-0.001119983987384814,False
AptitudeTestScore,0.03348248897848377,0.020913764569173873,0.026728976857329848,True
SoftSkillsRating,0.01752975815606137,0.02891000729230512,0.02524657608422362,True
CodingTestScore,0.02624702482959047,0.0,0.009546897201864472,False
MockInterviewScore,0.007065087835731439,0.023151337275674155,0.016780591745274288,True
ExtraCurricular,-0.040731821828164795,-0.014997056557186049,-0.02598230960427348,True
CGPA_Tier,0.29079748429477936,0.23670885916135212,0.2546155819524246,True
Salary Package,0.5233274184492628,0.41179556796349853,0.44878440743252784,True
IsAnomaly,-0.002092890462020988,-0.0,-0.0,False
